|News_URL|Event|Event_Description|News_heading|business_event_flg|News_Datetime|Summarized_News|summary_T5|summary_BART_large|summary_distilbart|summary_BART_large_xsum|Summarized_News_score|summary_T5_score|summary_BART_large_score|summary_distilbart_score|summary_BART_large_xsum_score
0|https://economictimes.indiatimes.com/industry/auto/auto-news/india-fastest-growing-market-for-mercedes-benz-in-the-last-few-years-ceo-ola-kallenius/articleshow/103362869.cms|Mercedes-Benz plans to invest in infrastructure and drive in the right products in India; Mercedes-Benz focuses on electrification in India; Mercedes-Benz to introduce four all-electric vehicles globally; Mercedes-Benz emphasizes the need for structured immigration policies|Mercedes-Benz is planning to invest in infrastructure and introduce the right products in India to participate in the country's growth story. The company sold 15,822 vehicles in India in 2022, marking a 41% increase from the previous year and its highest annual sales on record. With a share of nearly 50% in the luxury vehicle segment in India, Mercedes-Benz is on track to report record sales for the second consecutive year in 2023. While high-tech internal combustion vehicles are currently the mainstay for Mercedes-Benz in India, the company believes that the future will be electric. Mercedes-Benz India already sells four electric car models in the local market. The company is also investing in Mercedes-Benz charging infrastructure in India to offer charging stations to its customers. Mercedes-Benz plans to introduce four all-electric vehicles on the Mercedes Modular Architecture globally. The first of these, the Concept CLA, will go into commercial production in 2025 and will be simultaneously launched in India. The luxury carmaker has its largest R&D set-up outside of Germany in Bengaluru, where a team of over 5,000 engineers is working on global development projects. Ola Kallenius, chairman of the board of management at Mercedes-Benz AG, highlights the need for more structured immigration policies in the West to encourage young talent from elsewhere to settle. Kallenius believes that all regions need to think about human capital and that intelligent and structured immigration is necessary to address labor shortages. He also cautions against implementing restrictions on labor laws and flexibility, as it may hinder competitiveness with countries like India and China.|India fastest growing market for Mercedes-Benz in the last few years CEO Ola Kallenius|Y|Sep 04, 2023, 06:29 PM |Mercedes-Benz plans to invest in infrastructure and introduce the right products in India to participate in the country's growth story. The company sold a record-breaking number of vehicles in India in 2022 and holds nearly 50% of the luxury vehicle segment. While currently focused on internal combustion vehicles, Mercedes-Benz believes the future is electric and already sells electric car models in India. The company plans to introduce four all-electric vehicles globally, with the first launching in India in 2025. Mercedes-Benz also emphasizes the need for structured immigration policies in the West to attract young talent and cautions against labor law restrictions that could hinder competitiveness.|the company sold 15,822 vehicles in india in 2022, marking a 41% increase from the previous year . with a share of nearly 50% in the luxury vehicle segment in india, Mercedes-Benz is on track to report record sales for the second consecutive year in 2023 . the company believes that the future will be electric, and plans to introduce four all-electric vehicles on the Mercedes Modular Architecture globally. the first of these, the Concept CLA, will go into commercial production in 2025 and will be simultaneously launched in india.|Mercedes-Benz sold 15,822 vehicles in India in 2022, marking a 41% increase from the previous year and its highest annual sales on record. The luxury carmaker has its largest R&D set-up outside of Germany in Bengaluru, where a team of over 5,000 engineers is working on global development projects. Ola Kallenius, chairman of the board of management at Mercedes-Benz AG, highlights the need for more structured immigration policies in the West to encourage young talent from elsewhere to settle.| Mercedes-Benz is planning to invest in infrastructure and introduce the right products in India to participate in the country's growth story . The company sold 15,822 vehicles in India in 2022, marking a 41% increase from the previous year and its highest annual sales on record . The luxury carmaker has its largest R&D set-up outside of Germany in Bengaluru, where a team of over 5,000 engineers is working on global development projects . The first of these, the Concept CLA, will go into commercial production in 2025 and will be simultaneously launched in India .|Luxury carmaker Mercedes-Benz has announced plans to double the number of vehicles it sells in India to more than 20,000 by 2023, up from 15,000 last year, in a bid to tap into the growing demand for luxury vehicles in the country, according to a report by BBC Hindi and the BBC Sport Hindi service, both owned by Daimler (Daimler is one of the world's biggest carmakers) and Hindustan Unilever (Hennes & Mauritz).|0.21264367816091953|0.21839080459770116|0.23563218390804597|0.22413793103448276|-0.005747126436781609
1|https://economictimes.indiatimes.com/industry/auto/auto-news/indias-second-largest-carmaker-is-betting-big-on-a-fuel-others-are-abandoning/articleshow/103418764.cms|Hyundai's commitment to diesel fuel; Superior fuel efficiency and torque of diesel engines; Stable demand for diesel vehicles in specific states|Hyundai, the second-largest carmaker in India, is committed to maintaining its diesel variants despite other carmakers abandoning diesel due to regulatory and tax pressures. Hyundai's COO, Tarun Garg, highlighted the company's success with diesel variants and the strong demand for them, especially for larger SUVs. Hyundai plans to expand its diesel portfolio with the introduction of more diesel-powered vehicles. Buyers of large SUVs prefer diesel engines due to their superior fuel efficiency, offering around 30% better mileage compared to petrol counterparts. Diesel engines also provide robust initial torque, making them effective for off-roading. These factors contribute to the enduring popularity of diesel, especially for large off-road vehicles. Despite a decrease in Hyundai's diesel share from 26% to 20% since last year, the demand for diesel vehicles remains strong in specific states. This dispels the notion of a widespread withdrawal from diesel fuel. Hyundai's commitment to diesel reflects its dedication to meeting the diverse needs of its customer base.|Indias second-largest carmaker Hyundai is betting big on a fuel others are abandoning|Y|Sep 06, 2023, 12:02 PM |Hyundai, the second-largest carmaker in India, plans to maintain its diesel variants despite other carmakers abandoning diesel due to regulatory and tax pressures. The company's COO, Tarun Garg, highlighted the strong demand for diesel variants, especially for larger SUVs, and plans to expand its diesel portfolio. The enduring popularity of diesel, particularly for large off-road vehicles, is due to its superior fuel efficiency and robust initial torque. Despite a decrease in Hyundai's diesel share, the demand for diesel vehicles remains strong in specific states, reflecting the company's commitment to meeting the diverse needs of its customers.|Hyundai is committed to maintaining its diesel variants despite other carmakers abandoning diesel due to regulatory and tax pressures . Hyundai plans to expand its diesel portfolio with the introduction of more diesel-powered vehicles . buyers of large SUVs prefer diesel engines due to their superior fuel efficiency, offering around 30% better mileage compared to petrol counterparts.|Hyundai plans to expand its diesel portfolio with the introduction of more diesel-powered vehicles. Buyers of large SUVs prefer diesel engines due to their superior fuel efficiency. Diesel engines also provide robust initial torque, making them effective for off-roading. Despite a decrease in Hyundai's diesel share from 26% to 20% since last year, demand for diesel vehicles remains strong in specific states.| Hyundai plans to expand its diesel portfolio with the introduction of more diesel-powered vehicles . Buyers of large SUVs prefer diesel engines due to their superior fuel efficiency . Diesel engines also provide robust initial torque, making them effective for off-roading . Hyundai's commitment to diesel reflects its dedication to meeting the diverse needs of its customer base .|India's biggest carmaker, Hyundai Motor, has said it will continue to sell diesel-powered vehicles in the country, despite a drop in its market share last year, reports the BBC's Geeta Pandey in Hyderabad, Hyderabad and Kolkata, India. and M Ilyas Khan in Delhi.|0.3391304347826087|0.2782608695652174|0.3217391304347826|0.25217391304347825|0.06956521739130435
2|https://economictimes.indiatimes.com/industry/auto/auto-news/mercedes-benz-launches-new-mar-20x-3s-outlet-in-madurai/articleshow/103432526.cms|Mercedes-Benz unveils revamped showroom MAR 20X; Total number of Mercedes-Benz outlets in India rises to 12; MAR 20X is an integrated 3S facility|Luxury car maker Mercedes-Benz has unveiled its revamped showroom MAR 20X in Madurai, India. The MAR 20X format is based on the four pillars of Design Architecture Customer-oriented process and Digital enhancements. The showroom, spread across 30,000 sq ft, will display all cars from the Mercedes-Benz stable and is served by 35 trained staff. With the inauguration of the MAR 20X 3S facility in Madurai, the total number of Mercedes-Benz outlets operated by the automaker in India has risen to 12. The MAR 20X showroom, located on the Kappalur by-pass, will serve customers from Madurai and neighboring districts. The MAR 20X showroom in Madurai is an integrated 3S facility, offering Mercedes-Benz certified and private and semi-private consultancy areas for customers. The facility was inaugurated by Mercedes-Benz Vice-President Customer Services and Corporate Affairs Shekhar Bhide in the presence of Sundaram Motors Executive Director Sharath Vijayaraghavan and senior officials.|Mercedes-Benz launches new MAR 20X 3S outlet in Madurai|Y|Sep 06, 2023, 04:50 PM |Mercedes-Benz has opened a new showroom in Madurai, India, called MAR 20X. The showroom covers 30,000 sq ft and will display all cars from the luxury car maker's stable. With the addition of the Madurai showroom, Mercedes-Benz now has a total of 12 outlets in India.|the MAR 20X format is based on the four pillars of Design Architecture Customer-oriented process and Digital enhancements . the showroom, spread across 30,000 sq ft, will display all cars from the Mercedes-Benz stable and is served by 35 trained staff .|Mercedes-Benz has unveiled its revamped showroom MAR 20X in Madurai, India. The showroom, spread across 30,000 sq ft, will display all cars from the Mercedes-Benz stable and is served by 35 trained staff. The total number of Mercedes- Benz outlets operated by the automaker in India has risen to 12.| Mercedes-Benz has unveiled its revamped showroom MAR 20X in Madurai, India . The showroom, spread across 30,000 sq ft, will display all cars from the company's stable and is served by 35 trained staff . With the inauguration of the facility, the total number of outlets operated in India has risen to 12 .|The Mercedes-Benz MAR 20X 3S showroom in Madurai, India, has been inaugurated by the company's vice-president customer services and corporate affairs Shekhar Bhide in the presence of Sundaram Motors Executive Director Sharath Vijayaraghavan and senior officials.|0.052083333333333336|0.20833333333333334|0.13541666666666666|0.22916666666666666|0.11458333333333333
3|https://economictimes.indiatimes.com/industry/auto/cars-uvs/hyundai-launches-n-brands-first-ev-model-ioniq-5-n/articleshow/103346927.cms|Hyundai launches all-electric model Ioniq 5 N; Hyundai invests in future mobility market; Expansion of Hyundai's EV platform|Hyundai Motor has launched its first all-electric model, the Ioniq 5 N, in the domestic market. The Ioniq 5 N comes with an 84 kWh battery pack and can accelerate from zero to 100 kph in 3.4 seconds. Priced at $58,000, it can travel about 350 kms on a single charge. Hyundai plans to invest 109.4 trillion won by 2032 to secure a leading position in the global future mobility market. The company aims to sell 1 million pure electric models by 2030. Hyundai is also building dedicated EV factories in the US and Korea to meet the growing demand. Hyundai's Ioniq 5 and Ioniq 6 are built on the E-GMP platform, with the Ioniq 7 set to be released next year. Hyundai's independent Genesis and Kia Corp.'s EV6 and EV9 SUVs also share the E-GMP platform. This expansion of the EV platform allows Hyundai to offer a range of electric vehicles across different segments.|Hyundai launches N ands first EV model Ioniq 5 N|Y|Sep 04, 2023, 12:23 PM |Hyundai Motor has launched its first all-electric model, the Ioniq 5 N, in the domestic market. The company plans to invest 109.4 trillion won by 2032 to secure a leading position in the global future mobility market and aims to sell 1 million pure electric models by 2030. Hyundai is also building dedicated EV factories in the US and Korea to meet the growing demand and expanding its EV platform to offer a range of electric vehicles across different segments.|the Ioniq 5 N comes with an 84 kWh battery pack and can accelerate from zero to 100 kph in 3.4 seconds . Hyundai plans to invest 109.4 trillion won by 2032 to secure a leading position in the global future mobility market . the company aims to sell 1 million pure electric models by 2030 .|The Ioniq 5 N comes with an 84 kWh battery pack and can accelerate from zero to 100 kph in 3.4 seconds. Priced at $58,000, it can travel about 350 kms on a single charge. Hyundai is also building dedicated EV factories in the US and Korea to meet the growing demand.| The Ioniq 5 N comes with an 84 kWh battery pack and can accelerate from zero to 100 kph in 3.4 seconds . Priced at $58,000, it can travel about 350 kms on a single charge . Hyundai aims to sell 1 million pure electric models by 2030 .|South Korea's biggest carmaker has unveiled its first all-electric vehicle, as part of its drive to become the world's leading electric vehicle maker by 2032, the company has announced... the company's electric vehicles (E-GMP) are built on the same platform as its petrol and diesel models.|0.3181818181818182|0.25|0.14772727272727273|0.14772727272727273|0.07954545454545454
4|https://economictimes.indiatimes.com/industry/banking/finance/banking/being-5th-largest-economy-impressive-but-indias-per-capita-income-must-also-rise-says-ex-rbi-gov-rangarajan/articleshow/103709776.cms|India's ascent to become the world's fifth-largest economy; Need to lay down a clear roadmap for India's future development; Importance of absorbing new technologies and skilled manpower|Former Reserve Bank of India Governor C Rangarajan lauded India's ascent to become the world's fifth-largest economy, hailing it as an impressive achievement. However, he underscored the urgent need for India to accelerate its economic growth to improve the per capita income of the nation. Post Covid-19 and the Russia-Ukraine war, there is a need to lay down a clear roadmap for India's future development, according to C Rangarajan. He emphasized that raising the growth rate is the first and foremost task, and if India achieves a seven percent rate of growth continuously over the next two decades, it can make a substantial change to the level of the economy and almost touch the status of a developed economy. C Rangarajan stressed the importance of India absorbing new technologies and skilled manpower to support its development. He acknowledged that while new technologies may lower employment elasticity with respect to output, employment must come out of increased growth. He also highlighted the need for a multidimensional development strategy, including strong export and manufacturing sectors, and emphasized that growth without equity is not sustainable.|Being 5th largest economy 'impressive but Indias per capita income must also rise says Ex RBI Governor Rangarajan|Y|Sep 16, 2023, 12:58 PM |Former Reserve Bank of India Governor C Rangarajan praised India's rise to become the world's fifth-largest economy but stressed the need for accelerated economic growth to improve per capita income. He called for a clear roadmap for India's future development in the wake of the Covid-19 pandemic and the Russia-Ukraine war. Rangarajan emphasized the importance of raising the growth rate, absorbing new technologies and skilled manpower, and implementing a multidimensional development strategy that includes strong export and manufacturing sectors.|C Rangarajan lauded india's ascent to become the world's fifth-largest economy . he underscored the urgent need for india to accelerate its economic growth . post covid-19 and the Russia-ukraine war, there is a need to lay down a clear roadmap for India's future development .|Former Reserve Bank of India Governor C Rangarajan hails India's ascent to become the world's fifth-largest economy. He underscored the urgent need for India to accelerate its economic growth to improve the per capita income of the nation. He emphasized that raising the growth rate is the first and foremost task, and if India achieves a seven percent rate of growth continuously over the next two decades, it can make a substantial change.| Former Reserve Bank of India Governor C Rangarajan hails India's ascent to become the world's fifth-largest economy . He underscored the urgent need for India to accelerate its economic growth to improve the per capita income of the nation . Post Covid-19 and the Russia-Ukraine war, there is a need to lay down a clear roadmap for India's future development .|India's former central bank governor has delivered a speech in the Indian capital, Delhi, to mark the 70th anniversary of the independence of the country from British rule and the end of the British colonial rule in India and the creation of a separate state of British India in the 1960s and 70 years after the independence from the United Kingdom in 1947. and the first Indian prime minister since independence.|0.23893805309734514|0.11504424778761062|0.23008849557522124|0.18584070796460178|-0.05309734513274336
5|https://economictimes.indiatimes.com/industry/banking/finance/banking/big-accounting-firms-may-not-get-to-value-idbi-bank-assets/articleshow/103444045.cms|Qualification criteria for appointing an asset valuer for IDBI Bank; Disqualification of RBSA Valuation Advisors; Conflict of interest for KPMG|The decision to appoint an asset valuer for IDBI Bank has caused a stir among the big four accounting firms. The qualification criteria set out in the request for proposal (RFP) document state that only valuers registered with the Insolvency and Bankruptcy Board of India (IBBI) are eligible for applying. The big four accounting firms, Deloitte, EY, PwC, and KPMG, could potentially be eliminated from the selection process due to not meeting the turnover threshold or not using their IBBI-registered valuer entities for previous valuations. RBSA Valuation Advisors, a potential contender for the appointment of a valuer for IDBI Bank, was disqualified for a period of six months earlier this year due to flaws in its valuation of Videocon Industries. However, its disqualification will end on September 19, just days ahead of the deadline for submission of bids. This could make RBSA Valuation Advisors the only serious contender for the job. KPMG, one of the big four accounting firms, is conflicted in the selection process as it is already the transaction advisor for the disinvestment of IDBI Bank. This conflict of interest could potentially disqualify KPMG from being considered for the appointment of a valuer.|Big accounting firms may not get to value IDBI bank assets|Y|Sep 07, 2023, 12:56 AM |The decision to appoint an asset valuer for IDBI Bank has caused controversy among the big four accounting firms. The qualification criteria for the role state that only valuers registered with the Insolvency and Bankruptcy Board of India (IBBI) are eligible, potentially eliminating the big four firms. RBSA Valuation Advisors, previously disqualified for flawed valuations, could be the only serious contender for the job, while KPMG may be disqualified due to a conflict of interest as the transaction advisor for the disinvestment of IDBI Bank.|the decision to appoint an asset valuer for IDBI bank has caused a stir among the big four accounting firms . only valuers registered with the insolvency and bankruptcy board of india (ibbi) are eligible for applying . big four firms, Deloitte, EY, PwC, and KPMG, could potentially be eliminated from the selection process .|The decision to appoint an asset valuer for IDBI Bank has caused a stir among the big four accounting firms. The qualification criteria set out in the request for proposal (RFP) document state that only valuers registered with the Insolvency and Bankruptcy Board of India (IBBI) are eligible for applying. Deloitte, EY, PwC, and KPMG could potentially be eliminated from the selection process.| The decision to appoint an asset valuer for IDBI Bank has caused a stir among the big four accounting firms . The qualification criteria set out in the request for proposal (RFP) document state that only valuers registered with the Insolvency and Bankruptcy Board of India (IBBI) are eligible for applying . Deloitte, EY, PwC and KPMG could potentially be eliminated from the selection process due to not meeting the turnover threshold or using their IBBI-registered valuer entities for previous valuations .|Deloitte, EY, PwC, and KPMG could be disqualified from the selection process for an asset valuer for IDBI Bank, according to a document seen by BBC Hindi and the BBC Hindi news channel, which was seen by the BBC on Thursday night.The decision to appoint a valuer has been criticised by the big four accounting firms, including Deloitte and EY.|0.2831858407079646|0.2743362831858407|0.3008849557522124|0.39823008849557523|0.1504424778761062
6|https://economictimes.indiatimes.com/industry/banking/finance/banking/indian-bank-partners-with-nys-ibm-to-deploy-compute-infrastructure/articleshow/103363670.cms|IBM and Indian Bank collaboration; Hybrid cloud approach for AIX workloads; Deployment of IBM PowerSC and PowerVC|IBM and Indian Bank have partnered to deploy new front-end banking applications and provide the bank with safe compute infrastructure. The collaboration aims to consolidate the bank's Front Branch Servers for better manageability and availability at both Data Centres (DC) and Disaster Recovery (DR) centers in Mumbai and Chennai. The bank plans to run its CBS workloads on the latest generation of IBM Power servers, enabling more efficient utilization of compute resources and reducing the total cost of ownership. IBM proposed a hybrid cloud approach for all AIX workloads to boost agility and meet Indian Bank's digital infrastructure needs. The approach includes a combination of Capex and Opex model for consumption of compute resources, providing Infrastructure-as-a-Service (IaaS) capabilities. It aims to build a private cloud using available resources, create a single pool of processors across DC and DR, and enable services equivalent to a pay-as-you-grow model. As part of the collaboration, Indian Bank will be using IBM PowerSC for all AIX endpoints to improve security and support compliance audits for their private cloud. Additionally, the bank will utilize IBM PowerVC for simplified virtualization management, cloud deployments, workload image management, and resource optimization for IBM AIX Servers.|Indian Bank partners with NYs IBM to deploy compute infrastructure|Y|Sep 04, 2023, 07:22 PM |IBM and Indian Bank have partnered to deploy new front-end banking applications and provide the bank with safe compute infrastructure. The collaboration aims to consolidate the bank's Front Branch Servers for better manageability and availability at both Data Centres (DC) and Disaster Recovery (DR) centers in Mumbai and Chennai. The bank plans to run its CBS workloads on the latest generation of IBM Power servers, enabling more efficient utilization of compute resources and reducing the total cost of ownership.|the bank plans to run its CBS workloads on the latest generation of IBM Power servers . the collaboration aims to consolidate the bank's front branch servers for better manageability and availability at both data centres and disaster recovery centers in Mumbai and Chennai . Indian Bank will use IBM PowerSC for all AIX endpoints to improve security and support compliance audits for their private cloud.|IBM and Indian Bank have partnered to deploy new front-end banking applications and provide the bank with safe compute infrastructure. The collaboration aims to consolidate the bank's Front Branch Servers for better manageability and availability at both Data Centres (DC) and Disaster Recovery (DR) centers in Mumbai and Chennai. The bank plans to run its CBS workloads on the latest generation of IBM Power servers.| IBM and Indian Bank have partnered to deploy new front-end banking applications and provide the bank with safe compute infrastructure . The collaboration aims to consolidate the bank's Front Branch Servers for better manageability and availability at both Data Centres (DC) and Disaster Recovery (DR) centers in Mumbai and Chennai . The bank plans to run its CBS workloads on the latest generation of IBM Power servers, enabling more efficient utilization of compute resources and reducing the total cost of ownership .|Indian Bank, one of the country's largest banks, has announced plans to build a private cloud for its back-end computing workloads, including artificial intelligence (AIX) and virtual banking (virtual banking) services, through a collaboration with IBM and other technology providers, reports BBC Hindi's Sudha Kannan in a special report on the Indian bank's digital transformation programme, part of the BBC World Service.|0.296|0.216|0.24|0.288|0.032
7|https://economictimes.indiatimes.com/industry/banking/finance/banking/sbis-digital-rupee-now-linked-to-upi/articleshow/103347518.cms|SBI integrates digital rupee with NPCI's UPI system; SBI's participation in RBI's retail digital e-rupee project; Bridging the gap between CBDC and UPI to boost payments ecosystem|State Bank of India (SBI) has made its digital rupee eC/1 interoperable with the National Payments Corporation of India's (NPCI) Unified Payments Interface (UPI) system. This integration is part of the Reserve Bank of India's (RBI) Central Bank Digital Currency (CBDC) program. Users can now access the SBI digital rupee through the 'eRupee by SBI' application and make swift and secure transactions by scanning any merchant UPI QR code. SBI was among the first few banks to participate in the RBI's retail digital e-rupee project in December 2022. This project aims to introduce a digital version of the Indian rupee, enabling seamless digital transactions. SBI's active involvement in this initiative showcases its commitment to embracing digital currencies and contributing to the development of the digital currency ecosystem in India. The seamless integration of the CBDC with the widely used UPI platform marks a significant leap for SBI. By bridging the gap between the Central Bank Digital Currency and UPI, SBI aims to enhance the acceptance and utilization of digital currencies in everyday transactions. The bank believes that this integration will be a game changer for the digital currency ecosystem and expects it to boost the overall payments ecosystem in India.|SBIs digital rupee now linked to UPI|Y|Sep 04, 2023, 12:27 PM |State Bank of India (SBI) has integrated its digital rupee eC/1 with the National Payments Corporation of India's (NPCI) Unified Payments Interface (UPI) system as part of the Reserve Bank of India's (RBI) Central Bank Digital Currency (CBDC) program. Users can now access the SBI digital rupee through the 'eRupee by SBI' application and make secure transactions by scanning any merchant UPI QR code. SBI's active involvement in the RBI's retail digital e-rupee project demonstrates its commitment to embracing digital currencies and contributing to the development of the digital currency ecosystem in India.|SBI has made its digital rupee eC/1 interoperable with the NPCI's unified payments interface (UPI) this integration is part of the Reserve Bank of india's (RBI) Central Bank Digital Currency (CBDC) program . users can now access the SBI e-rupee through the 'eRupee by SBI' application .|State Bank of India (SBI) has made its digital rupee eC/1 interoperable with the National Payments Corporation of India's (NPCI) Unified Payments Interface (UPI) system. Users can now access the SBI digitalRupee through the 'eRupee by SBI' application and make swift and secure transactions by scanning any merchant UPI QR code. SBI was among the first few banks to participate in the RBI's retail digital e-rupee project in December 2022.| State Bank of India has made its digital rupee eC/1 interoperable with the National Payments Corporation of India's (NPCI) Unified Payments Interface (UPI) system . SBI was among the first few banks to participate in the RBI's retail digital e-rupee project in December 2022 . This project aims to introduce a digital version of the Indian rupee, enabling seamless digital transactions .|One of India's largest banks has made its digital rupee interoperable with the country's most widely used digital payment system for the first time, the bank has said in a press release on Wednesday, 1 March... the bank believes that this integration will be a game changer for the digital currency ecosystem and expects it to boost the overall payments ecosystem in the country, the press release said.|0.3409090909090909|0.19696969696969696|0.1893939393939394|0.20454545454545456|0.13636363636363635
8|https://economictimes.indiatimes.com/industry/banking/finance/banking/yono-app-to-be-available-in-four-more-countries-in-next-one-year-sbi-official/articleshow/103442369.cms|Expansion of Yono mobile banking app; Yono's success in banking transactions; Development of Yono 2.0|State Bank of India's mobile banking app, Yono, will be expanded to four more countries in the next year. Currently available in nine countries, including the UK, Canada, and Sri Lanka, the app aims to streamline user experience and increase its global footprint. The next countries in line for availability are the US, Singapore, and Oman. Yono, launched by State Bank of India in 2014, has become a runaway success, with 85% of banking transactions being conducted through the app. The app's popularity has contributed to the bank's dominance in UPI transactions, with 38% of the 10 billion UPI transactions in August being done through the SBI network. State Bank of India is working on the development of Yono 2.0, the next generation of its mobile banking app. The bank aims to enhance the app's features and capabilities to further improve user experience and meet evolving customer needs.|Yono app to be available in four more countries in next one year SBI official|Y|Sep 06, 2023, 10:19 PM |State Bank of India's mobile banking app, Yono, will expand to four more countries, including the US, Singapore, and Oman, in the next year. Yono has been a success, with 85% of banking transactions being conducted through the app. State Bank of India is also working on Yono 2.0 to enhance its features and capabilities.|state bank of india's mobile banking app, Yono, will be expanded to four more countries in the next year . currently available in nine countries, including the UK, canada, and Sri Lanka . the next countries in line for availability are the us, Singapore, and Oman .|State Bank of India's mobile banking app, Yono, will be expanded to four more countries in the next year. Currently available in nine countries, including the UK, Canada, and Sri Lanka, the app aims to streamline user experience and increase its global footprint. The next countries in line for availability are the US, Singapore, and Oman.| State Bank of India's mobile banking app, Yono, will be expanded to four more countries in the next year . Currently available in nine countries, including the UK, Canada, and Sri Lanka, the app aims to streamline user experience and increase its global footprint . The next countries in line for availability are the US, Singapore, and Oman .|One of India's biggest banks has announced plans to expand its mobile banking app to the US, Singapore, and Oman, as part of its drive to become a global financial services leader, reports BBC Hindi's Shilpa Kannan in New Delhi, and is backed by the US Federal Reserve.|0.20689655172413793|0.13793103448275862|0.22988505747126436|0.2413793103448276|-0.08045977011494253
9|https://economictimes.indiatimes.com/industry/banking/finance/many-japanese-cos-see-india-as-a-partner-of-choice/articleshow/103443794.cms|Daiwa's expansion in India through investment in Ambit; India emerging as a preferred destination for Japanese companies; Changing sentiment towards India in Japanese corporate boardrooms|Japanese financial services firm Daiwa has announced its intentions to expand its presence in India through an investment in Ambit. The partnership will focus on institutional equities business, equity capital market deals, and distribution of asset management products. Daiwa sees India as a partner of choice in the current global economic and political order, with plenty of opportunities in the Indian economy. Seiji Nakata, President and CEO of Daiwa Securities Group Inc, believes that India is emerging as a preferred destination for Japanese companies. With global supply chain disruptions and the China+1 strategy, Japanese companies are increasingly looking at India as a potential partner. The Indian government's initiatives, such as the production linked incentive (PLI), offer interesting opportunities in the manufacturing sector for Japanese companies. Despite the chequered track record of Japanese joint ventures in India, the sentiment towards India is changing in Japanese corporate boardrooms. With confirmed growth and a growing middle class, Japanese companies and investors are considering India as a must-invest destination. The investment in Ambit is part of Daiwa's plan to strengthen its balance sheet and fund the growth plans of its businesses.|'Many Japanese cos see India as a partner of choice|Y|Sep 07, 2023, 12:33 AM |Japanese financial services firm Daiwa has announced its plans to expand in India through an investment in Ambit. The partnership will focus on institutional equities business, equity capital market deals, and distribution of asset management products. Daiwa sees India as a preferred partner due to its economic opportunities and initiatives like the production linked incentive (PLI).|Japanese financial services firm daiwa has announced its intentions to expand its presence in india through an investment in Ambit . the partnership will focus on institutional equities business, equity capital market deals, and distribution of asset management products . with confirmed growth and a growing middle class, Japanese companies and investors are considering india as a must-invest destination .|Japanese financial services firm Daiwa has announced its intentions to expand its presence in India through an investment in Ambit. The partnership will focus on institutional equities business, equity capital market deals, and distribution of asset management products. Seiji Nakata, President and CEO of Daiwa Securities Group Inc, believes that India is emerging as a preferred destination for Japanese companies. With confirmed growth and a growing middle class, Japanese companies are considering India as a must-invest destination.| Daiwa has announced its intentions to expand its presence in India through an investment in Ambit . The partnership will focus on institutional equities business, equity capital market deals, and distribution of asset management products . Seiji Nakata, President and CEO of Daiwa Securities Group Inc, believes that India is emerging as a preferred destination for Japanese companies . With global supply chain disruptions and the China+1 strategy, Japanese companies are increasingly looking at India as a potential partner .|India is emerging as a preferred destination for Japanese companies as they look to expand their presence in the country, reports BBC Hindi's Shilpa Kannan in Mumbai, with Daiwa Securities Group joining forces with Ambit Capital to create a new financial services firm in the Indian capital. and the BBC Hindi version of this story can be watched on iPlayer, as well as on BBC Hindi.|0.272|0.32|0.344|0.296|0.128
10|https://economictimes.indiatimes.com/industry/banking/finance/paytm-launches-a-soundbox-at-rs-999-that-now-accepts-cards/articleshow/103354047.cms|Paytm launches Paytm Card Soundbox; Paytm aims to democratize card payments; Paytm reports spike in payment device subscriptions|Fintech firm Paytm has launched a new sound box called Paytm Card Soundbox that accepts both card and mobile payments. Priced at Rs 999, the device has a tap and pay functionality and accepts payments up to Rs 5,000. Paytm aims to take this product to 550 cities in India. With the launch of Paytm Card Soundbox, Paytm aims to democratize card payments at a micro-level. The device offers affordability and allows merchants to switch off the card tap feature whenever needed. It also provides alerts in 11 languages and supports NFC-enabled smartphone payments. One97 Communications, the parent company of Paytm, reported a 118% spike in payment device subscriptions by merchants in the first two months of the fiscal year. The number of merchants paying subscription for payment devices, including soundbox and PoS machines, rose to 75 lakh during April and May from 34 lakh in the same period last year.|PaytmC/s new soundbox will now accept card payments costs Rs 999|Y|Sep 04, 2023, 04:13 PM |Paytm has launched a new sound box called Paytm Card Soundbox that accepts both card and mobile payments. Priced at Rs 999, the device aims to democratize card payments at a micro-level and will be taken to 550 cities in India. The parent company of Paytm, One97 Communications, reported a 118% spike in payment device subscriptions by merchants in the first two months of the fiscal year.|Paytm has launched a new sound box that accepts both card and mobile payments . the device has a tap and pay functionality and accepts payments up to Rs 5,000 . it is priced at Rs 999 and aims to take this product to 550 cities in india .|Paytm Card Soundbox accepts both card and mobile payments. Priced at Rs 999, the device has a tap and pay functionality and accepts payments up to Rs 5,000. The device offers affordability and allows merchants to switch off the card tap feature whenever needed. It also provides alerts in 11 languages and supports NFC-enabled smartphone payments.| Fintech firm Paytm has launched a new sound box called Paytm Card Soundbox . Priced at Rs 999, the device has a tap and pay functionality and accepts payments up to Rs 5,000 . The device offers affordability and allows merchants to switch off the card tap feature whenever needed . Paytm aims to take this product to 550 cities in India .|The number of merchants in India paying subscription for payment devices, including soundbox and PoS machines, has risen by more than 118% in the first two months of the year, according to a report by One97 Communications, the parent company of Paytm, a leading online payments platform in India.|0.32608695652173914|0.1956521739130435|0.25|0.34782608695652173|0.2608695652173913
