vendor name|event description|summary
Ace Tate|Mark de Lange, founder of Ace Tate, emphasizes the importance of transparency when making a mistake. He shares his business advice in an interview for the CEO Secrets series. Mohamed Al Fayed, the former boss of Harrods, dies at the age of 94. Al Fayed was known for his ownership of the luxury department store and his involvement in various business ventures. Typhoon Saola hits Hong Kong, causing significant damage and uprooting trees. The powerful storm is captured on video, highlighting the impact of natural disasters on businesses and communities.| Mark de Lange, founder of Ace Tate, emphasizes the importance of transparency when making a mistake . Mohamed Al Fayed, the former boss of Harrods, dies at the age of 94 . Typhoon Saola
Airbus|Airbus engineers, mechanics, and test pilots conducted extreme cold weather testing on their A350 XWB plane in Iqaluit, Canada. The tests included operating the plane in temperatures as low as -28 degrees Celsius, thrust-reversed tests with snow, and a local flight test. These tests are necessary to ensure that new plane models can withstand extreme environmental conditions. Boeing chose the McKinley Climatic Laboratory in Florida as the location for extreme weather testing on their 787 Dreamliner. The aircraft was exposed to temperatures as low as -42.7 degrees Celsius and as high as 46 degrees Celsius for several hours. These tests help Boeing ensure that their airplanes can operate effectively in all climates and seasons. Airbus' cold weather testing in Iqaluit had to be cut short due to unexpectedly warm temperatures of -18 degrees Celsius. The tests were initially scheduled for five days but had to be shortened. This highlights the unpredictability of weather conditions and the challenges faced by aircraft manufacturers in conducting extreme weather trials.| Airbus conducted extreme cold weather testing on their A350 XWB plane in Iqaluit, Canada . The tests included operating the plane in temperatures as low as -28 degrees Celsius, thrust-reversed tests with snow, and a local flight test . Boeing chose the McKinley Climatic Laboratory in Florida to conduct the tests on their 787 Dreamliner .
Airlines|The government plans to improve transparency for online shoppers by cracking down on firms that add necessary charges at checkout, increasing the final price. A public consultation will be launched by the Department for Business and Trade to address this issue, which is estimated to cost consumers 1.6 billion annually. The practice of hidden fees is widespread across various industries, including airlines, transport providers, entertainment, and hospitality. Separate consultations have been launched to address the issues of fake reviews and confusing labels. The government aims to ensure that consumers have the clearest and most accurate information upfront before making a purchase. These consultations are part of the efforts to provide a crucial safety net for consumers and their cash while minimizing unnecessary burdens for businesses. Ancillary services, such as food and drink or cabin baggage, have become a significant part of airlines' business models, generating $103 billion globally in 2022. Airlines argue that unbundling these extras from the ticket price provides travelers with more choice and cheaper fares overall. However, there is a need for more clarity about final prices to benefit customers, especially in the context of the cost-of-living crisis. American Airlines has revised its earnings forecast for the third quarter, expecting adjusted earnings per share to be between 20 cents and 30 cents, down from a previous forecast of as much as 95 cents. The revision is attributed to higher fuel costs and a new pilot labor deal. The carrier also halved its operating margin forecast to 4 to 5. Spirit Airlines has reduced its revenue forecast for the third quarter and expects negative margins of as much as 15.5, down from an earlier estimate of -5.5 to -7.5. The airline, like others, is facing higher costs and a slower travel demand period. Shares of Spirit Airlines fell as a result of the announcement. Frontier Airlines has warned that recent sales have been below historical seasonality patterns and has forecasted an adjusted loss for the quarter. The airline's stock hit a new 52-week low. This comes as airlines, including Southwest Airlines and Alaska Airlines, have already cut their third-quarter forecasts. Many companies, including aerospace manufacturers and package delivery giant UPS, are warning that the surge in fuel costs and employee pay hikes will eat into their profits this quarter. Airlines, in particular, are being hit hard as their biggest expenses are jet fuel and labor. Delta Air Lines and American Airlines have both cut their earnings forecasts due to the increased costs of fuel and new labor deals. Labor unions across various industries, from the auto industry to Hollywood, are pushing for better compensation in new contracts. UPS and the Teamsters union recently reached a new labor deal that includes raises for both full- and part-time workers. The United Auto Workers and Detroit automakers are still far apart in talks for new labor deals, potentially leading to strategic strikes. Hollywood writers and actors have also gone on strike, demanding better pay to match changing industry dynamics. UPS recently outlined the costs associated with its new labor deal, stating that expenses derived from it will increase at a compound annual growth rate of 3.3% over the next five years. The company expects the costs to be $500 million more in the back half of 2023 than originally forecasted. This highlights the financial impact of labor deals on companies' expenses and profitability. According to a report from Hopper, airfare prices for early autumn are much lower than fares over the summer. Airlines are trying to boost demand during the off-peak season by offering lower prices. Prices to top international destinations, including Europe, are down 31% from summer peaks. Domestic airfare prices for September and October are averaging $211 per ticket, down 29% from average prices in June, July, and August. This drop in prices is typical during the fall shoulder season when demand cools off after the busy summer months. Airlines are slashing prices to incentivize travelers to book trips before the winter holidays. The Federal Reserve is projecting a travel slowdown this fall, as several of its regional districts reported peaking or slowing tourism activity. While international travel saw a surge this summer, the Fed expects a decrease in travel demand during the fall season. This projection aligns with the typical trend of reduced travel after the peak summer months. Frontier Airlines has flagged lower bookings in recent weeks, with sales trending below historical seasonality patterns. As a result, the airline is forecasting an adjusted loss for the quarter. This decrease in bookings could be attributed to the projected travel slowdown and rising fuel prices, which may impact ticket prices. American Airlines has reported a considerable increase in fuel prices since July, which may lead to higher ticket prices. The airline is currently paying about $3 per gallon for jet fuel. Additionally, oil prices surged 9.1% last month, according to the Labor Department's Consumer Price Index report, further contributing to the potential increase in ticket prices. Airlines recognized the opportunity to increase profits by charging a fee for priority boarding, creating internal tension between marketing teams focused on revenue and operations teams focused on efficiency. Airlines started charging fees for checked bags, leading to an increase in carry-on bags and a decrease in efficiency during boarding. Bag fees have become a significant source of revenue for airlines. To accommodate various passenger segments and sell priority boarding, airlines introduced different boarding zones and groups, resulting in a longer boarding process. Larger aircraft and higher passenger load factors have contributed to congestion during boarding, as more passengers need to find their seats and store their luggage. Airlines have tried different boarding methods, such as boarding from back to front or using the Steffen Method, but none have proven to be optimal or widely implemented.| A public consultation will be launched by the Department for Business and Trade to address this issue . The practice of hidden fees is widespread across various industries, including airlines, transport providers, entertainment, and hospitality . Separate consultations have been launched to address the issues of fake reviews and confusing labels .
Amazon|Big-name employers like Amazon, Meta, and Merck are signaling that they will get tough on enforcing their return-to-office mandates after Labor Day. Amazon CEO Andy Jassy warned employees that non-compliance with the office attendance policy could impact their future at the company. Meta announced that employees assigned to an office must come in three days a week, with noncompliance potentially resulting in disciplinary action. Merck notified employees that office-based positions would require three days on-site, with consequences for non-attendance. According to security provider Kastle Systems, the average occupancy rate in office buildings in the 10 most populous US cities was 47.2% of pre-pandemic levels for the week between August 17 and August 23. This is an increase from the post-pandemic high of just over 50% in early June. Tuesday was the most popular day for employees to show up, with nearly 56% occupancy, while Friday had the lowest occupancy at 31%. A study by workplace analytics firm Basking found that the hours employees spend at work on the days they go into the office may be changing. In the first half of this year, only 55% of office visits on average lasted for more than 6 hours, compared to the pre-pandemic figure of 84%. This suggests a potential shift in work patterns and productivity during in-person office days. Surveys conducted by workplace consulting firms provide insights into the return-to-office policies and enforcement strategies of companies. A live poll survey by Gartner found that 45% of respondents ask employees to come to the office only a few days a week, while only 21% mandate return-to-office policies. Many companies do not have consequences for not meeting attendance requirements, but some enforce compliance through meetings, performance improvement plans, lower performance reviews, and reduced bonuses.| Amazon, Meta, and Merck are signaling that they will enforce their return-to-office mandates after Labor Day . Amazon CEO Andy Jassy warned employees that non-compliance with the office attendance policy could impact their future at the company . Tuesday was the most popular day for employees to show up, with nearly 56% occupancy .
American Airlines|American Airlines announced that rising costs, including fuel prices and a new pilot contract, will significantly impact its upcoming profits. The airline now expects adjusted earnings per share to be between 20 cents to 30 cents in the third quarter, compared to the previous forecast of 95 cents per share. Discount carrier Spirit Airlines reduced its third-quarter revenue forecast by 5% due to rising fuel prices and increased promotional activity with steep discounting. The adjusted guidance was attributed to travel bookings for the weeks leading into Thanksgiving weekend. Shares of American Airlines and Spirit Airlines fell approximately 3% in premarket trading. According to a forecast from the International Air Transport Association, global airlines are expected to make nearly $10 billion in profit this year as business bounces back from the pandemic. The organization more than doubled its 2023 profit forecast for the industry, with airlines projected to make $9.8 billion in net profit in 2023, up from a previous forecast of $4.7 billion.| American Airlines now expects adjusted earnings per share to be between 20 cents to 30 cents in the third quarter . Spirit Airlines reduced its third-quarter revenue forecast by 5% due to rising fuel prices and increased promotional activity with steep discounting . Shares of American Airlines and Spirit Airlines fell approximately 3% in premarket trading .
Anheuser-Busch|The Bill and Melinda Gates Foundation Trust purchased 1.7 million shares of Anheuser-Busch valued at around $95 million. This investment indicates that Bill Gates has confidence in the beer company, despite its steep sales slump and recent controversies surrounding Bud Light's partnership with transgender influencer Dylan Mulvaney. Since Bill Gates' purchase, Anheuser-Busch's stock has declined nearly 2% and is down about 7% for the year. The company reported a 10% decline in US revenue in the second quarter, primarily due to falling Bud Light sales. The decline in sales was isolated to the United States, as revenue in Canada actually rose. Modelo, a beer brand, overtook Bud Light in sales at grocery and beer stores. This marks the first time Modelo has beaten Bud Light on a year-to-date basis. However, the difference in market share is slim, with Modelo holding 8.34% of dollars spent on beer compared to Bud Light's 8.28%. Anheuser-Busch announced layoffs affecting approximately 380 positions within its US employee population. This decision was made as the company continues to face challenges in its sales and revenue, particularly with the decline in Bud Light sales. In addition to Anheuser-Busch, the Bill and Melinda Gates Foundation Trust also purchased nearly $1 billion worth of shares of Heineken Holding, the parent company of the Dutch beer. This suggests that Bill Gates has invested in the beer industry beyond just Anheuser-Busch.| Bill and Melinda Gates Foundation Trust purchased 1.7 million shares of Anheuser-Busch valued at around $95 million . The investment indicates that Bill Gates has confidence in the beer company, despite its steep sales slump and recent controversies surrounding Bud Light's partnership with transgender influencer Dylan Mulvaney .
AnnieCannons|Laura Hackney, co-founder and CEO of Silicon Valley company AnnieCannons, shares her business advice for our CEO Secrets series. AnnieCannons trains victims of human trafficking and gender-based violence in software skills. In an interview, Laura Hackney states that she believes the traditional job interview is dead. She emphasizes the importance of making decisions as if you were on your deathbed. Mohamed Al Fayed, the former boss of Harrods, has passed away at the age of 94. Al Fayed was a prominent figure in the business world and owned Harrods for many years.| AnnieCannons co-founder and CEO Laura Hackney believes the traditional job interview is dead . She emphasizes the importance of making decisions as if you were on your deathbed . Mohamed Al Fayed, the former
Apple|Apple is betting on a trade-in programme to drive India sales of its newly launched iPhone 15 series as well as the previous-generation iPhone 14 and 14 Plus. The company will popularize the trade-in or 'phone exchange programme in India through marketing campaigns and highlighting it on its India website. The trade-in programme offers trade-in values for older iPhones, making it attractive for young aspirational buyers looking to reduce the upfront cost of purchasing iPhones. Apple has reduced the prices of the iPhone 14 and iPhone 14 Plus after the launch of their successors. The reduced prices, along with discounts offered by channels, are expected to drive sales of these smartphones in India. Counterpoint Research estimates that the iPhone 14 will capture more than 50% of the sales in India this year. Apple is expected to sell a record over 9 million iPhones in India this year, with its highest-ever market share of 5%. This growth is attributed to the trade-in programme, reduced prices of older models, and the extensive portfolio of iPhones available in the market. Apple manufactures iPhones in India and offers a recycling service through the trade-in programme. The price difference of over Rs 35,000 for the iPhone 15 Pro and Pro Max models in India compared to other countries is leading to direct imports by holidaying consumers and increased demand in the grey market. Traders in grey market hubs like Delhi's Gaffar Market have started taking advance bookings with a promise of lower prices. The high price arbitrage may lead to more sales through grey markets and consumers purchasing units when they travel abroad. Increasing currency arbitrage between the dollar and the rupee and the customs duty of 22% on the Pro models, which are not made in India, are the leading causes for the steep price hikes in India. Dubai has become a preferred destination for purchasing iPhones due to the lower prices. Social media is filled with posts on how consumers buying iPhone 15 Pro series models in Dubai can recover the cost of travel with the savings. Apple has introduced more differentiation in the Pro models with industry-first features like the 3nm Apple A17 chip, titanium frame, faster data transfer speeds, and improved cameras. The Pro models are expected to benefit from the premiumization trend in India, especially among consumers who consider their phones as lifestyle statements and content creators. Apple's market share in India is expected to increase to 6-7% with a record shipment of 8-9 million units in 2023. The base model of the iPhone 15 is being made in India by Apple's contract manufacturer Foxconn and is expected to be available locally on the first day of sale. The Dynamic Island OLED display and 48MP cameras make the base model more popular this time, appealing to upgraders and switchers. However, customers may not see any tangible benefits of the model being made locally as Apple is expected to use the cost differential for channel expansion and marketing. Instead of reducing prices, Apple is expected to use the cost differential for channel expansion and marketing its new products at a larger scale in India. The previous generation iPhone models are still expected to garner a significant portion of Apple's sales in the coming quarters. Apple has been investing in building out the channel and direct-to-consumer offers, with the performance of its stores in Mumbai and Delhi exceeding expectations. Apple is planning to launch the iPhone 15, manufactured in Foxconn's Chennai unit, in India in mid-September, just a few days after the global launch. Last year, it took around a month for made-in-India iPhones to reach the market, but this year the lag is expected to be only a few days. Apple aims to initially cater to the local market and then start exporting the India-made devices, including to Europe and the US. Apple has been leading the way in driving mobile phone exports from India and has become the flagbearer of the production-linked incentive (PLI) scheme for smartphones. Its contract manufacturers, Foxconn, Hon Hai, Wistron, and Pegatron, have committed to exports of Rs 61,000 crore in FY24. In the June quarter of FY24, iPhone exports from India crossed Rs 20,000 crore, constituting 35% of all electronics exports and 66% of total mobile exports. India's PLI scheme, launched when US-China tensions were high, has successfully attracted companies like Apple to manufacture locally. In 2022-23, Apple manufactured over $7.5 billion worth of iPhones in India, making it the largest mobile phone exporter from the country. This surge in iPhone exports has propelled electronics to become the fourth-largest exported item from India in the June quarter of FY24. The prices of iPhone 15 in India are significantly higher compared to the US and Dubai, even though some of these iPhones are manufactured within the country. The iPhone 15 Pro Max 1 terabyte is priced at Rs 1,99,900 in India, marking a 51% increase when compared to the US price of $1,599. The base variant of the iPhone 15 Pro is priced at Rs 1,34,900 in India compared to Rs 82,917 in the US. Several factors contribute to the price disparities of iPhones in India. One reason is the supply chain, as several components are shipped after the payment of import duty. Additionally, the scale of business in India is much less compared to the US and Dubai. Apple collaborates with partners to offer discounts and trade-in options to mitigate the impact of customs duties and taxes on the final pricing of imported models. Apple's initial focus in India remains on the previous-generation models, allowing consumers to warm up to the new ones gradually. Older generation iPhones are propelling Apple's growth in India. The company plans to invest in marketing, supply chain, and affordability offers for previous-gen iPhone models, which contribute to the majority of volumes in India. The pre-orders for the new Apple iPhone 15 series, Watch Series 9, and AirPods Pro 2nd-Gen have started in India. These devices will be available in the country from September 22, along with other global markets. The 'Make in India' iPhone 15 will be available on the same day as the global sales. The new iPhone 15 series, including iPhone 15, iPhone 15 Plus, iPhone 15 Pro, and iPhone 15 Pro Max, will be available in India. The iPhone 15 and iPhone 15 Plus come in 6.1-inch and 6.7-inch display sizes, with various color options and storage capacities. The Apple Watch Series 9 is also available for pre-order in different sizes and case materials. The iPhone 15 starts at Rs 79,900, while the iPhone 15 Plus starts at Rs 89,900. The iPhone 15 Pro starts at Rs 134,900, and the iPhone 15 Pro Max starts at Rs 159,900. The Apple Watch Series 9 starts at Rs 41,900, and the Apple Watch SE starts at Rs 29,900. The AirPods Pro 2nd-Gen with MagSafe Charging Case can be pre-ordered for Rs 24,900. Imran Chaudhri, a top software designer at Apple, wrote a farewell email to colleagues announcing his planned exit. The email alarmed Apple's bosses, who feared that it could be interpreted as a sign that Apple's best days had passed. As a result, Chaudhri was fired and did not receive his shares. The recent launch of iPhone15 left many Apple fans disappointed, as they felt it lacked innovation compared to previous iPhones. Despite Apple's description of the launch as a huge leap forward, with new design features and a 48MP main camera, many fans believe it failed to stand apart from its predecessors. After the death of Steve Jobs, Apple's focus shifted from innovation to business growth under CEO Tim Cook. This led to the departure of key designers, such as Jony Ive, and a decline in inspired creativity. Many argue that the decade from 2001 to 2010 was the era of innovation at Apple, while the following decade saw a lack of breakthrough products. Shares in Apple have fallen for a second day in a row after reports that Chinese government workers have been banned from using iPhones. China is Apple's third-largest market, accounting for 18% of its total revenue last year. The ban may also be imposed on workers at state-owned companies and government-backed agencies. Apple's stock market valuation has fallen by more than 6% or almost $200 billion in the past two days due to the reports of the Chinese government ban on iPhones. This decline in valuation reflects the impact of losing a significant market and potential sales in China, which is one of Apple's biggest markets. Tensions between the US and China over technology have been rising steadily, with both parties imposing restrictions. This year, Washington, along with its allies Japan and the Netherlands, restricted China's access to some chip technology. China retaliated by restricting exports of two materials key to the semiconductor industry. Apple's upcoming iPhone, set to be unveiled on 12 September, is expected to feature a USB-C charge point. This move comes in response to a European Union law that requires phone manufacturers to adopt a common charging connection by December 2024. The switch to USB-C will allow customers to use a single charger for iPads, Macs, and iPhones, and also offer faster download speeds. The European Union has set a deadline of Christmas 2024 for phone manufacturers to adopt a common charging connection. This move aims to save consumers up to 250 million a year on unnecessary charger purchases and reduce electronic waste by 11,000 tonnes per year. The EU common-charger rule will cover a range of small and medium-sized portable electronics. The suicide of a teacher in South Korea has brought attention to the issue of parent bullying in the country's education system. The teacher had been facing relentless harassment from parents, highlighting the intense pressure and high expectations placed on educators. This incident has sparked a national conversation about the need to address parent bullying and support teachers. France has ordered Apple to stop selling the iPhone 12 due to excessive electromagnetic radiation. The French watchdog governing radio frequencies has also instructed Apple to fix existing phones. If the issue cannot be resolved through a software update, Apple may have to recall all iPhone 12 devices sold in the country. Apple is contesting the French watchdog's review and has provided lab results from the company itself and third parties to show that the iPhone 12 complies with all relevant regulations on radiation levels. The company states that the iPhone 12 is recognized as being compliant worldwide. Apple has two weeks to respond to the decision. France will share its findings with other regulators in the trading bloc, potentially leading to a snowball effect. The decision to recall iPhone 12 devices in France could influence other countries to take similar actions. The French digital minister has stated that if Apple fails to respond, a recall of all iPhone 12 devices in circulation may be ordered. Apple will deliver a software update for iPhone 12 users in France after sales were halted due to concerns about electromagnetic radiation. The update will only apply to users in France, where a specific testing protocol exists. The radio frequency regulator ANFR will test the update for compliance before allowing iPhone 12 back on sale in the country. Apple is contesting the review conducted by the French regulator ANFR regarding the radiation levels of iPhone 12. The company claims that the device is compliant with emissions rules worldwide and has provided lab results to support its stance. However, the regulator has given Apple a two-week deadline to resolve the issue. Regulators from Belgium, the Netherlands, and Germany are now looking into the iPhone 12 radiation issue following the French ban. The German network agency BNetzA stated that the French investigation could lead to measures applicable to all EU member states. The UK and US have not announced any action in response to the French ban. Several European countries, including France, Belgium, the Netherlands, and Germany, are examining concerns over the iPhone 12 emitting excessive electromagnetic radiation. France has ordered Apple to stop sales and given the company two weeks to respond to its probe. The findings will be shared with regulators in other EU member states, and the investigation could lead to Europe-wide measures. The Belgian government has instructed its regulator to review whether the iPhone 12 poses health risks. The state secretary for digitalisation has emphasized the importance of ensuring the safety and protection of all citizens. The regulator will examine all Apple models, followed by other brands. Based on the French tests, the Dutch digital infrastructure agency has confirmed that radiation levels on the iPhone 12 have been exceeded. The agency will contact Apple, but states that there is no acute safety risk. The German network agency also highlights that the French investigation could lead to measures applicable to all EU member states. Apple has a strict culture and focus, which is why it rarely buys name-and companies. Its largest takeover was the $3 billion deal for Beats Electronics in 2014. Unlike Microsoft, which has acquired several companies for billions of dollars, mergers and acquisitions are not in Apple's DNA. For years, there has been speculation about Apple potentially buying Disney, a company with a market valuation of nearly $150 billion. The ties between the two companies are historically strong, with Apple co-founder Steve Jobs becoming Disney's largest individual shareholder after Disney acquired Pixar, owned by Jobs, for $7.4 billion in 2006. However, it is unclear if Apple would have any interest in buying Disney, as it has no core competency in running theme parks or selling consumer products like Disney does. Even if Apple were to consider buying Disney, merging the two distinct and well-established cultures could be a potential recipe for disaster. The Bob Chapek era at Disney has shown the difficulty of changing employee attitudes and expectations, even for someone with three decades of experience at the company. Large media mergers in the past have often resulted in value destruction, making the blending of Apple and Disney's cultures a challenging task. Apple is holding its most important launch event of the year, where it is expected to unveil new hardware, including the iPhone 15. The event will be presented through a prerecorded video featuring company executives and will be streamed on YouTube and Apple's website. Apple's launches are crucial for the company as they build hype for the products and set the stage for a marketing blitz. Apple is expected to release four new iPhone models, continuing the pattern that has been in place since 2020. The models are likely to include two sizes of middle-range iPhones and two sizes of higher-end 'Pro' phones with titanium casing and better cameras. The biggest change expected is the introduction of a USB-C charging port, replacing Apple's proprietary Lightning port. Apple is likely to update its Apple Watch Series and accessories. The new watches may feature upgraded chips and health sensors, while the accessories may be updated to work with USB-C. Additionally, the AirPods Pro will receive a new feature called Adaptive Audio, which intelligently adjusts volume and noise-canceling to allow users to be aware of their surroundings. China has banned the use of iPhones for central government officials, according to The Wall Street Journal. The ban was reportedly communicated to staff through chat groups or meetings. This move could be seen as retaliation for similar actions taken by the US against Chinese tech companies, and it may have a negative impact on Apple and other foreign companies with a presence in China. Even before the formal ban, Chinese officials had been following an unwritten rule of avoiding iPhones for months, as reported by a source familiar with Chinese central government agencies. This suggests that the ban is not entirely surprising and may have been in effect unofficially. The sensitivity of the subject is evident from the source's request to remain anonymous. The ban on iPhones for Chinese government officials could be seen as a response to the US restrictions imposed on Chinese tech companies. Both Huawei and ZTE have faced limitations in the US, and in November 2022, the Biden administration banned approvals of new telecommunications equipment from these companies due to national security concerns. The ban on TikTok by multiple US institutions further highlights the ongoing tensions between the two countries. Apple is set to unveil the iPhone 15, which is expected to come with a significant change - the switch from Apple's proprietary Lightning charger to USB-C charging. This move marks a milestone for the company in adopting universal charging and streamlining the charging process across various devices. The switch is in compliance with the European Union's legislation requiring smartphones and other small devices to support USB-C charging by 2024. Although Apple has previously switched its iPads and MacBooks to USB-C charging, the company has been resistant to making the change on the iPhone. Apple's senior vice president of worldwide marketing, Greg Joswiak, expressed the value and ubiquity of the Lightning charger but acknowledged the need to comply with the EU mandate. The shift to USB-C could generate more e-waste in the short term as people phase out their Lightning cables. Apple has financial reasons for pushing back on the switch to USB-C. The company makes money from selling Lightning cables and accessories, as well as taking a cut from third-party accessories through its Made For iPhone program. Moving to USB-C would reduce Apple's control over its ecosystem, as USB-C is a more open ecosystem. However, Apple could create its own branded USB-C cable to optimize performance and minimize risk and damage to batteries. The shift to USB-C may not be a sole incentive for people to upgrade to the iPhone 15, but it could sway some consumers who have been resistant due to charging limitations. The devices are expected to ship with a new cable in the box, and considering the widespread use of USB-C in other devices, access to charging wires should not be difficult or costly. In the long term, the switch to USB-C is likely to benefit consumers with a universal charging system. While Apple could bypass wired charging altogether to make way for wireless charging, it is unlikely to happen soon due to the slower speed of wireless charging compared to wired charging. The future possibility of wireless charging remains uncertain. Apple is set to unveil the iPhone 15, which is expected to come with a significant change - the switch from Apple's proprietary Lightning charger to USB-C charging. This move marks a milestone for the company in adopting universal charging and streamlining the charging process across various devices. The switch is in compliance with the European Union's legislation requiring smartphones and other small devices to support USB-C charging by 2024. Although Apple has previously switched its iPads and MacBooks to USB-C charging, the company has been resistant to making the change on the iPhone. Apple's senior vice president of worldwide marketing, Greg Joswiak, stressed the value and ubiquity of the Lightning charger but acknowledged the need to comply with the EU mandate. The shift to USB-C on the iPhone is seen as a disruption to iPhone design but not a dramatic move. Apple's resistance to the switch from Lightning to USB-C charging on the iPhone is partly driven by financial reasons. Apple makes money from selling Lightning cables and accessories, as well as taking a cut from third-party accessories through its Made For iPhone program. Additionally, the switch could generate e-waste in the short term as people phase out their Lightning cables. Apple may need to develop a Lightning cable recycling program. The shift to USB-C charging on the iPhone 15 may not be a sole incentive for people to upgrade, but it could sway some consumers who have been resistant to the iPhone due to its charging limitations. However, considering the widespread use of USB-C in other devices, access to charging wires should not be difficult or costly for most consumers. In the long term, the switch to USB-C is likely to benefit consumers with a universal charging system. While Apple could potentially bypass wired charging altogether and adopt wireless charging, it is unlikely to happen soon due to the slower speed of wireless charging compared to wired charging. The future adoption of wireless charging remains uncertain. Apple unveiled its iPhone 15 lineup and major updates during its September keynote event. The company announced that it will switch to USB-C charging from its proprietary Lightning charging cable, aiming to streamline the charging process across various devices. The iPhone 15 lineup also includes design changes, camera system improvements, and the adoption of universal charging. Apple introduced the new Apple Watch Series 9 and Ultra 2 smartwatches during its event. The Series 9 features Apples in-house silicon chip and ultrawideband connectivity, while the Ultra 2 comes with the updated S9 custom chip and a new UWB chip. Both smartwatches offer new features and colors, and customers can place orders starting today. Perhaps the biggest change coming to the iPhone 15 models is the switch to USB-C charging, ending an 11-year run with Apple's proprietary Lightning charging cable. This change allows Apple customers to use the same USB-C chargers for their iPhones, iPads, and Mac computers, simplifying the charging process. The switch aligns with the European Union's legislation to require USB-C charging support by 2024. Apple is finally abandoning its proprietary Lightning port in the iPhone 15 and adopting a charging cable that is compatible with non-Apple products. This move, prompted by a European regulatory mandate, is largely symbolic as most other gadgets have already switched to USB-C. While it may not significantly reduce e-waste, it is an important step towards creating a common charger across devices and raising awareness about the issue. Retiring the Lightning cable could potentially lead to a surge of e-waste in the short term as iPhone users discard their useless cables. However, the overall impact on global e-waste is expected to be minimal, as charging cables account for only a few hundred thousand tons out of the 66 million tons of electronic waste generated each year. Nevertheless, this transition is an important step in addressing the growing e-waste problem and making people aware of the issue. E-waste is a growing problem that often ends up in closets and junk drawers instead of being properly treated. This leads to the need for more mining of materials like copper, gold, and platinum to produce new products. While the EU rule may not directly reduce waste, it can encourage manufacturers like Apple to make it easier to refurbish and recycle old products, ultimately helping to close the loop and promote reuse over recycling. Apple announced at its iPhone 15 event that all of its next-generation smartphones will launch with USB-C charging, marking a milestone moment for the company. This move comes after years of resistance from Apple to switch from its proprietary Lightning charger. The switch to USB-C will make charging easier for customers and aligns with the European Union's legislation requiring devices to support USB-C charging by 2024. With the adoption of USB-C charging, Apple customers can now use the same USB-C chargers to power their iPhones, iPads, and Mac computers. This eliminates the need to find the right charger for each device and allows for charging between devices. The switch to USB-C charging is a significant disruption to iPhone design and provides convenience and compatibility for Apple users. While Apple has financial reasons for resisting the switch to USB-C charging, such as revenue from selling Lightning cables and accessories, the company is complying with the European Union's mandate. The move to USB-C also aligns with environmental efforts to tackle e-waste. Apple is selling a USB-C to Lightning adapter to connect existing Lightning accessories to USB-C-enabled devices, and it has a recycling program for used chargers and cables. Apple plans to issue a software update for iPhone 12 users in France to accommodate the protocol used by French regulators. This comes after France's National Frequency Agency (ANFR) ordered the immediate withdrawal of iPhone 12 from the market, citing that it exceeded European radiation exposure limits. Apple clarified that the suspension of sales was due to a specific testing protocol and not a safety concern. France's National Frequency Agency (ANFR) ordered the immediate withdrawal of iPhone 12 from the French market, stating that it exceeded European radiation exposure limits. The ANFR also ruled that Apple must take necessary corrective measures to bring the already in-use iPhone 12 devices into conformity or recall them. The suspension of sales was related to a specific testing protocol used by French regulators. Apple has assured France's minister for the digital economy that it will be rolling out a software update for iPhone 12 in the next few days. This update is aimed at bringing the model in line with the European standards applied in France, as requested by the ANFR. Once the update is tested and approved, Apple will be able to resume sales of iPhone 12 in France. On the same day as the sales suspension of iPhone 12 in France, Apple unveiled its newest iterations, iPhone 15 and iPhone 15 Pro, at its annual keynote event in California. These new models are the latest additions to Apple's iconic product line.| Apple is betting on a trade-in programme to drive India sales of its iPhone 15 series as well as the previous-generation iPhone 14 and 14 Plus . The company will popularize the programme in India through marketing campaigns and highlighting it on its India website . Apple is expected to sell a record over 9 million iPhones in India this year .
Apple Inc.|The pre-order sales for Apple's new flagship device, the iPhone 15 Pro Max, quickly saw delivery times slip into October, indicating strong demand for the most expensive model. The Pro Max, starting at $1,199, experienced delays in its first deliveries, with timelines pushed back from September 22 to as late as October 16. The delayed timelines affected all colors and most storage capacities of the model. While many of Apple's retail stores in the US still have day one availability for in-store pick up, the delayed timelines for iPhone 15 Pro Max are impacting home deliveries. Additionally, China is already experiencing shipment delays of four to five weeks for the Pro Max model. These delays suggest high demand and popularity for the new iPhone. The standard iPhone 15 Pro, with a smaller screen, is experiencing limited delays, primarily affecting the natural titanium model in some storage capacities. However, the lower-end iPhone 15 and iPhone 15 Plus models are not showing any immediate delays on Apple's website. This indicates that the delays are specific to the higher-end models.| iPhone 15 Pro Max pre-order sales for Apple's new flagship device quickly saw delivery times slip into October . The Pro Max, starting at $1,199, experienced delays in its first deliveries, with timelines pushed back from September 22 to October 16 . The delayed timelines affected all colors and most storage capacities of the model .
Athletic Brewing Company|Bill Shufelt, co-founder and CEO of Athletic Brewing Company, a non-alcoholic craft beer company, shares his business advice. In an interview for the CEO Secrets series, Shufelt discusses his experience and insights in running the company. The inventor of the Ring doorbell, a popular home security device, explains why he doesn't take advice. In a video interview, he shares his perspective on the importance of trusting one's own instincts and making independent decisions in business. Mohamed Al Fayed, the former boss of Harrods, has died at the age of 94. Al Fayed was a prominent figure in the retail industry and played a significant role in the development of Harrods as a luxury department store.| Bill Shufelt, co-founder and CEO of Athletic Brewing Company, shares his business advice . Mohamed Al Fayed, the former boss of Harrods, has died at the age of 94 .
