|summary|senti_finbert_score|senti_dist_score
0| Mark de Lange, founder of Ace Tate, emphasizes the importance of transparency when making a mistake . Mohamed Al Fayed, the former boss of Harrods, dies at the age of 94 . Typhoon Saola|neutral|neutral
1| Airbus conducted extreme cold weather testing on their A350 XWB plane in Iqaluit, Canada . The tests included operating the plane in temperatures as low as -28 degrees Celsius, thrust-reversed tests with snow, and a local flight test . Boeing chose the McKinley Climatic Laboratory in Florida to conduct the tests on their 787 Dreamliner .|neutral|neutral
2| A public consultation will be launched by the Department for Business and Trade to address this issue . The practice of hidden fees is widespread across various industries, including airlines, transport providers, entertainment, and hospitality . Separate consultations have been launched to address the issues of fake reviews and confusing labels .|neutral|neutral
3| Amazon, Meta, and Merck are signaling that they will enforce their return-to-office mandates after Labor Day . Amazon CEO Andy Jassy warned employees that non-compliance with the office attendance policy could impact their future at the company . Tuesday was the most popular day for employees to show up, with nearly 56% occupancy .|neutral|neutral
4| American Airlines now expects adjusted earnings per share to be between 20 cents to 30 cents in the third quarter . Spirit Airlines reduced its third-quarter revenue forecast by 5% due to rising fuel prices and increased promotional activity with steep discounting . Shares of American Airlines and Spirit Airlines fell approximately 3% in premarket trading .|neutral|neutral
5| Bill and Melinda Gates Foundation Trust purchased 1.7 million shares of Anheuser-Busch valued at around $95 million . The investment indicates that Bill Gates has confidence in the beer company, despite its steep sales slump and recent controversies surrounding Bud Light's partnership with transgender influencer Dylan Mulvaney .|neutral|neutral
6| AnnieCannons co-founder and CEO Laura Hackney believes the traditional job interview is dead . She emphasizes the importance of making decisions as if you were on your deathbed . Mohamed Al Fayed, the former|negative|neutral
7| Apple is betting on a trade-in programme to drive India sales of its iPhone 15 series as well as the previous-generation iPhone 14 and 14 Plus . The company will popularize the programme in India through marketing campaigns and highlighting it on its India website . Apple is expected to sell a record over 9 million iPhones in India this year .|positive|positive
8| iPhone 15 Pro Max pre-order sales for Apple's new flagship device quickly saw delivery times slip into October . The Pro Max, starting at $1,199, experienced delays in its first deliveries, with timelines pushed back from September 22 to October 16 . The delayed timelines affected all colors and most storage capacities of the model .|negative|negative
9| Bill Shufelt, co-founder and CEO of Athletic Brewing Company, shares his business advice . Mohamed Al Fayed, the former boss of Harrods, has died at the age of 94 .|neutral|neutral
10| President Joe Biden visited Auburn Manufacturing in Maine to tout the success of his economic agenda . He highlighted the rising investments in construction projects by manufacturers as evidence of the growth in blue-collar work . The Federal Reserve approved raising interest rates to their highest level in over 22 years .|positive|neutral
11| The i7 has a starting price of $119,300 and offers a range of 300 miles on a full charge . It is part of BMW's flexible electric vehicle strategy which allows the company to produce both electric and gas-powered cars on the same assembly lines .|neutral|neutral
12| Bharti Airtel has signed definitive agreements to acquire stakes in renewable energy project companies . The telco's data center business has expressed its commitment to become a Net Zero Company by 2031 . The total contracted renewable energy capacity for Nxtra data centers will exceed 274,000 MWh .|positive|positive
13| Biocon, a biotechnology major, has acquired Eywa Pharma Inc's oral solid dosage manufacturing facility in the US for $7.7 million . The facility has the potential for capacity expansion of up to 2 billion tablets/capsules per year .|neutral|neutral
14| Birmingham City Council declared itself effectively bankrupt after being issued with equal pay claims totaling up to 760 million ($954 million) The council filed a Section 114 notice, halting all nonessential spending except on essential services . The deficit arose due to difficulties paying between 650 million ($816 million) and 760 million in equal pay compensation claims .|negative|negative
15| British American Tobacco is selling its Russian and Belarusian businesses in compliance with local and international laws . BAT will no longer have a presence in Russia or Belarus and will receive no financial gain from ongoing sales in these markets . The buyer of the businesses will be a consortium led by members of BAT Russia's management team .|neutral|neutral
16| Brookfield Asset Management invested $558 million in The Leela Palaces Hotels Resorts business . Since Brookfield's acquisition, the Leela business has grown from 8 properties to 12 hotels . Leela has also gained global recognition, ranking as the best hotel in the world by Travel and Leisure magazine .|neutral|neutral
17| Burger King customers in the US are taking the company to court over the difference between the advertised size of the Whopper burger and the actual size served . The customers feel that they have been ripped off and that the burgers do not look like the ones shown in the advertising images .|negative|neutral
18| US firm C16 Biosciences has developed yeast-sourced alternative to palm oil . Palm oil is the most-produced vegetable oil in the world, accounting for 40% of the total . It is widely used in food and cosmetics due to its smooth texture and preservative properties .|neutral|neutral
19| Since the SAG-AFTRA strike began, over 2,400 performers have joined or reactivated their Cameo accounts . Out-of-work actors are turning to Cameo to earn income from fans who buy personalized celebrity videos .|negative|neutral
20| Strike action has begun at Chevron's Gorgon and Wheatstone plants in Western Australia . The walkouts are due to a dispute over pay and conditions . The two plants account for over 5% of global LNG capacity .|negative|neutral
21| China is the world's largest producer of urea and accounts for about a third of global supplies . Two Chinese state-owned urea producers have announced they will prioritize domestic supply . Half a million metric tons are held up at Chinese ports, causing delays in loading and inspections .|neutral|neutral
22| US buyout group Bain Capital has approached Dr Reddys Laboratories to explore a joint bid to buy out the promoters of Cipla, the Hamied family . The two sides have met to discuss and formalize a strategy . The merger would create a leading Indian pharma major with m|positive|neutral
23| Citigroup will be divided into five main business lines that report directly to CEO Jane Fraser . The changes will also include job cuts, although the exact number has not been decided yet . Citigroup, the third-biggest U.S. bank by assets, has struggled in post-2008 financial crisis era .|neutral|neutral
24| Alan Walker has given around 8,000 fans the chance to invest in four of his singles . The move allows him to involve his fans beyond just connecting with them through his music . Artists can announce campaigns for forthcoming releases and detail the amount of money they are seeking to raise . In return, fans can earn more money than the sum they have invested .|neutral|neutral
25| The Manheim Used Vehicle Value Index was 212.2 in August, up 0.2 from July . This marks the lowest increase in the index this year, indicating a potential bottoming out of prices for the year . Cox Automotive estimates that used vehicle retail sales in August were up 5% compared to July .|positive|positive
26| Daiwa sees India as a partner of choice in the current global economic and political order . Seiji Nakata, President and CEO of Daiwa Securities Group Inc, believes that India is emerging as a preferred destination for Japanese companies .|neutral|neutral
27| Danco Laboratories, a drug company that distributes the abortion pill mifepristone, has asked the Supreme Court to review a case challenging the legality of the medication . This comes after a ruling by the U.S. Court of Appeals for the Fifth Circuit that would impose major restrictions on the use and distribution of the pill . Danco argues that the case is of great importance to women's health|negative|neutral
28| Darpa is working on a magnetohydrodynamic (MHD) drive, similar to the 'caterpillar drive' described in the movie 'The Hunt for Red October' The drive has no moving parts and works by generating a magnetic field at a right angle to an electric current .|neutral|neutral
29| Delta Airlines now expects adjusted per-share earnings of $1.85 to $2.05 per share . The airline attributes the lower earnings to higher fuel and maintenance costs . The industry as a whole is facing increased expenses during a period of lower travel demand .|positive|positive
30| Delta is limiting access to its Sky Club airport lounges through certain American Express credit cards . Starting Jan. 1, customers will earn Delta Medallion status solely based on spending instead of dollars spent with the carrier and flights . Delta has made several changes to crack down on overcrowding at its airport lounge .|negative|negative
31| Identical twins have found that meetings are efficient for them in their business endeavors . Chess has received a risqu makeover, showcasing a new and unconventional approach to the traditional game . This demonstrates the potential for innovation and creativity|neutral|positive
32| On February 25, 2020, Bob Iger announced his retirement as Disney's CEO . His hand-picked successor, Bob Chapek, took over the day-to-day operations of the company immediately . Iger remained as executive chairman for 22 months, retaining control of creative endeavors and movie and TV content . On November 20, 2022, Iger came out of retirement to become|neutral|neutral
33| Mohamed Al Fayed, the former boss of Harrods, has died at the age of 94 . A spectacular meteor was seen streaking across the night sky in Turkey . The event captured the attention of many people and created a buzz on social media .|neutral|neutral
34| Ecoclipper has restored a traditional Dutch sail barge built in 1912 and set sail on its first commercial voyage . The cost of fuel and introduction of carbon taxes are driving the resurgence of wind-powered cargo shipping . The project aims to utilize traditional UK waterways and connect estuaries to oceans .|neutral|neutral
35| India emerged as the leader in net mobile subscription additions in the April-June quarter, surpassing countries like China and the United States . The total number of global mobile subscriptions reached 8.3 billion, as reported in the Ericsson Mobility Report .|positive|positive
36| Beyonc requested concert goers attending her Renaissance Tour to wear silver in honor of her birthday . Beyonc's influence on sales was evident as Etsy sellers received panicked messages and offers for expedited shipping . Artisans offering glittery products saw increased sales, with Etsy sellers witnessing an uptick in demand for silver holographic fans .|neutral|neutral
